no_of_agents,exploration_time,no_of_tries
1,67.16587138175964,1
2,38.55715560913086,1
3,37.67460799217224,1
4,27.18204641342163,1
5,37.0308554172516,1
6,24.230071544647217,1
7,30.898949384689328,1
8,21.2333242893219,1
