no_of_agents,exploration_time,no_of_tries
1,73.46568155288695,1
2,53.17187237739563,1
3,58.498342196146645,3
4,46.41582489013672,1
5,52.375224033991486,3
6,41.50406837463379,1
7,41.26449012756348,1
8,44.25820684432984,1
