no_of_agents,exploration_time,no_of_tries
1,61.6771684885025,2
2,42.967047572135925,2
3,36.3761100769043,2
4,42.55002403259277,2
5,40.96142657597861,3
6,36.697004318237305,2
7,36.475699305534356,2
8,40.25510323047639,2
