no_of_agents,exploration_time,no_of_tries
1,76.4034149646759,1
2,58.71079134941101,1
3,56.61816596984863,1
4,53.29825568199158,1
5,53.82795715332031,1
6,44.58090567588806,1
7,45.62210202217102,1
8,41.370754718780525,1
